dienststellenschluessel;dienststelle;gemeindeschluessel;gemeinde;gemarkungsschluessel;gemarkung;
080010;Ostalbkreis Vermessungsbehörde;08136071;Tannhausen;082225;Tannhausen
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082234;Walxheim
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082230;Unterschneidheim
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082231;Geislingen
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082232;Nordhausen
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082233;Unterwilflingen
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082235;Zipplingen
080010;Ostalbkreis Vermessungsbehörde;08136075;Unterschneidheim;082236;Zöbingen
080010;Ostalbkreis Vermessungsbehörde;08136079;Waldstetten;082510;Waldstetten
080010;Ostalbkreis Vermessungsbehörde;08136079;Waldstetten;082511;Wißgoldingen
080010;Ostalbkreis Vermessungsbehörde;08136082;Westhausen;082401;Lippach
080010;Ostalbkreis Vermessungsbehörde;08136082;Westhausen;082400;Westhausen
080010;Ostalbkreis Vermessungsbehörde;08136084;Wört;082245;Wört
080010;Ostalbkreis Vermessungsbehörde;08136087;Riesbürg;082425;Goldburghausen
080010;Ostalbkreis Vermessungsbehörde;08136087;Riesbürg;082426;Pflaumloch
080010;Ostalbkreis Vermessungsbehörde;08136087;Riesbürg;082427;Utzmemmingen
080010;Ostalbkreis Vermessungsbehörde;08136089;Rainau;082290;Dalkingen
080010;Ostalbkreis Vermessungsbehörde;08136089;Rainau;082291;Schwabsberg
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087976;Roßwangen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087974;Frommern
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087973;Erzingen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087972;Engstlatt
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087971;Endingen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087970;Balingen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087980;Zillhausen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087979;Weilstetten
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087978;Streichen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087977;Stockenhausen
080020;Zollernalbkreis Vermessungsbehörde;08417002;Balingen;087975;Ostdorf
080020;Zollernalbkreis Vermessungsbehörde;08417008;Bisingen;087941;Thanheim
080020;Zollernalbkreis Vermessungsbehörde;08417008;Bisingen;087940;Bisingen
